frame_no,detection,label,confidence,x_min,y_min,x_max,y_max
40,0,texting,0.56
40,1,driving car,0.23
40,2,changing oil,0.07
40,3,reading newspaper,0.04
40,4,finger snapping,0.01
41,0,texting,0.55
41,1,driving car,0.24
41,2,changing oil,0.06
41,3,reading newspaper,0.04
41,4,finger snapping,0.02
42,0,texting,0.54
42,1,driving car,0.25
42,2,changing oil,0.06
42,3,reading newspaper,0.04
42,4,finger snapping,0.01
43,0,texting,0.54
43,1,driving car,0.25
43,2,changing oil,0.06
43,3,reading newspaper,0.04
43,4,checking tires,0.01
44,0,texting,0.52
44,1,driving car,0.27
44,2,changing oil,0.07
44,3,reading newspaper,0.04
44,4,finger snapping,0.01
45,0,texting,0.51
45,1,driving car,0.28
45,2,changing oil,0.06
45,3,reading newspaper,0.04
45,4,finger snapping,0.02
46,0,texting,0.5
46,1,driving car,0.28
46,2,changing oil,0.06
46,3,reading newspaper,0.04
46,4,finger snapping,0.02
47,0,texting,0.5
47,1,driving car,0.3
47,2,changing oil,0.06
47,3,reading newspaper,0.04
47,4,finger snapping,0.02
48,0,texting,0.47
48,1,driving car,0.32
48,2,changing oil,0.07
48,3,reading newspaper,0.03
48,4,finger snapping,0.02
49,0,texting,0.47
49,1,driving car,0.32
49,2,changing oil,0.07
49,3,reading newspaper,0.04
49,4,finger snapping,0.02
50,0,texting,0.46
50,1,driving car,0.33
50,2,changing oil,0.07
50,3,reading newspaper,0.04
50,4,finger snapping,0.02
51,0,texting,0.46
51,1,driving car,0.34
51,2,changing oil,0.06
51,3,reading newspaper,0.04
51,4,finger snapping,0.02
52,0,texting,0.45
52,1,driving car,0.36
52,2,changing oil,0.08
52,3,reading newspaper,0.03
52,4,finger snapping,0.02
53,0,texting,0.45
53,1,driving car,0.35
53,2,changing oil,0.07
53,3,reading newspaper,0.03
53,4,finger snapping,0.02
54,0,texting,0.44
54,1,driving car,0.37
54,2,changing oil,0.07
54,3,reading newspaper,0.03
54,4,finger snapping,0.02
55,0,texting,0.44
55,1,driving car,0.38
55,2,changing oil,0.07
55,3,reading newspaper,0.03
55,4,finger snapping,0.02
56,0,texting,0.43
56,1,driving car,0.39
56,2,changing oil,0.08
56,3,reading newspaper,0.02
56,4,finger snapping,0.02
57,0,texting,0.43
57,1,driving car,0.38
57,2,changing oil,0.07
57,3,finger snapping,0.03
57,4,reading newspaper,0.03
58,0,texting,0.42
58,1,driving car,0.39
58,2,changing oil,0.07
58,3,finger snapping,0.03
58,4,reading newspaper,0.03
59,0,texting,0.42
59,1,driving car,0.4
59,2,changing oil,0.07
59,3,reading newspaper,0.03
59,4,finger snapping,0.02
60,0,texting,0.42
60,1,driving car,0.41
60,2,changing oil,0.07
60,3,finger snapping,0.02
60,4,reading newspaper,0.02
61,0,texting,0.42
61,1,driving car,0.4
61,2,changing oil,0.07
61,3,finger snapping,0.03
61,4,reading newspaper,0.02
62,0,driving car,0.41
62,1,texting,0.41
62,2,changing oil,0.06
62,3,finger snapping,0.03
62,4,reading newspaper,0.02
63,0,driving car,0.42
63,1,texting,0.42
63,2,changing oil,0.06
63,3,reading newspaper,0.02
63,4,finger snapping,0.02
64,0,driving car,0.43
64,1,texting,0.42
64,2,changing oil,0.07
64,3,finger snapping,0.02
64,4,reading newspaper,0.02
